envios,ventas
132,66
704,242
396,132
176,22
418,88
110,44
374,22
638,154
418,154
770,198
594,132
352,110
418,132
572,198
770,264
528,198
176,66
154,66
2969,638
3079,770
2397,638
2903,748
5036,1056
2881,902
3343,946
3343,1232
4244,1188
2947,1012
3804,1166
3519,1144
2639,946
2441,902
3277,968
2551,1078
2617,946
4772,1737
4794,1693
5036,1803
924,330
968,330
902,308
1210,374
1341,374
770,176
1034,242
660,242
3387,1188
4728,1034
5388,1451
5036,968
5674,1517
4530,1253
5080,1407
4376,1144
5036,1517
4376,1561
4772,1495
4178,1583
3936,1429
4046,1561
3387,1495
5080,1407
4244,814
4398,1034
5234,1407
2727,638
5784,1341
4574,1319
5168,1539
5366,1539
5278,1319
4222,1319
4618,1385
5432,1561
5740,1451
5630,1561
4816,1451
5036,1583
4310,1495
4640,1517
4728,1363
4486,1363
5014,1122
5454,1473
4662,1297
5410,1473
6443,1363
4838,1495
5124,1561
3936,1539
6048,1122
5212,1232
4332,1473
3365,1385
4772,1407
4178,1363
4288,1517
4134,1210
4002,1627
4618,1605
4024,1539
3782,1649
3013,1539
4992,1583
4310,1495
5190,1693
4596,1671
4596,1429
4398,1319
2441,902
4750,1737
550,198
726,330
198,110
506,110
484,44
220,44
748,198
220,66
330,66
330,88
44,0
308,66
198,66
66,44
176,66
286,88
638,176
286,66
374,66
374,66
440,198
770,286
220,110
462,154
198,66
1012,242
792,286
638,154
748,154
308,88
616,176
264,66
264,110
132,44
132,44
286,132
550,132
330,66
220,22
330,110
176,44
594,176
506,220
572,88
374,88
198,88
352,44
418,88
418,176
374,88
154,44
220,88
132,44
484,154
990,154
286,88
132,88
440,110
154,88
550,154
550,198
330,66
418,110
308,66
308,88
462,176
484,198
242,88
352,44
374,110
220,110
506,176
418,154
418,88
352,88
286,110
264,88
506,132
616,176
660,264
418,176
484,264
880,308
814,352
484,176
836,198
506,286
946,242
858,330
418,176
484,198
198,110
616,154
1012,198
1275,330
660,198
308,176
198,110
308,132
1605,286
1100,264
594,198
440,176
396,66
594,132
1188,308
1122,286
506,220
528,176
220,88
528,176
792,176
902,198
660,132
330,176
418,110
572,176
924,264
990,352
418,220
396,132
198,44
110,66
814,396
682,352
660,220
330,220
198,66
110,88
1056,330
1034,352
572,220
616,220
110,66
132,88
814,352
1166,330
484,220
506,220
132,44
264,66
1122,308
1100,352
396,198
550,154
132,66
132,88
1012,330
792,308
330,110
550,198
110,44
110,88
1275,330
1144,352
836,176
484,176
154,66
220,88
1473,352
946,330
484,198
616,242
88,66
220,44
1012,264
770,330
506,154
616,132
176,66
132,44
946,374
1495,308
484,154
814,110
88,44
242,66
506,308
594,330
528,132
286,176
154,66
44,44
968,352
924,352
484,176
550,154
66,66
242,44
902,352
1297,352
330,154
902,198
286,66
176,44
660,352
726,330
286,198
374,220
66,66
220,88
880,396
836,352
352,220
352,242
110,66
110,88
506,286
506,330
308,198
374,176
154,66
110,44
682,374
1056,374
638,176
484,176
198,66
132,44
924,242
1100,264
836,176
770,176
242,66
308,66
1188,308
1012,352
528,220
528,176
88,44
330,22
858,308
1144,352
462,220
440,176
264,66
88,22
1166,132
1407,330
660,176
902,132
286,44
264,66
770,264
1056,308
550,176
726,176
154,66
110,44
880,286
572,220
660,220
308,198
154,44
220,22
682,286
836,330
594,176
528,176
176,66
132,66
792,396
792,352
308,220
440,176
88,66
242,66
924,352
814,374
418,198
462,198
220,44
330,88
968,220
924,198
572,176
352,154
198,66
242,66
990,198
1297,264
462,176
418,132
154,88
176,66
154,44
154,66
66,44
110,44
44,22
44,22
902,396
748,374
484,220
506,242
330,110
176,110
704,286
1275,286
396,176
550,176
220,88
198,88
968,330
1056,374
638,264
616,220
440,88
308,44
1100,374
1188,396
880,198
836,154
396,132
330,110
946,242
814,132
858,198
572,154
154,88
154,66
704,352
902,330
704,176
572,264
220,132
286,132
792,308
902,308
660,242
462,220
374,132
352,132
770,352
1056,330
682,242
550,242
308,110
154,88
418,132
572,154
572,132
264,88
220,88
396,220
440,198
352,154
330,88
110,88
418,154
660,132
396,132
264,110
220,88
572,198
660,154
440,154
308,66
176,110
572,220
924,220
440,176
286,88
396,110
638,154
374,154
484,132
308,110
308,88
528,110
748,154
462,88
264,66
330,44
594,198
506,176
462,154
352,66
374,66
396,110
704,132
550,154
286,88
440,44
638,132
506,154
506,132
242,22
154,44
462,154
638,132
330,176
264,110
198,110
616,88
396,88
902,176
242,44
418,110
902,154
638,154
660,242
220,44
330,110
418,154
550,176
396,176
418,66
308,88
396,242
374,242
836,242
220,44
396,88
462,220
682,220
704,220
220,44
352,88
704,286
2089,374
594,220
528,220
352,88
242,66
1012,176
1034,352
814,220
44,22
440,88
220,88
726,308
1297,440
682,198
572,176
308,88
264,66
418,88
660,220
330,88
286,66
220,44
352,154
660,220
352,154
154,88
242,88
374,154
484,264
396,154
132,44
154,44
264,154
704,220
374,88
88,0
374,88
528,176
1012,396
660,220
484,176
396,176
1144,352
484,198
374,198
572,198
1166,374
550,110
286,110
506,176
858,374
660,220
374,176
440,220
1100,352
396,198
484,198
528,132
990,396
616,220
440,176
330,154
550,330
462,132
374,132
462,176
1056,418
528,132
286,110
528,176
1144,352
682,220
484,154
748,220
1429,396
572,198
550,154
506,220
1166,418
660,132
396,154
352,198
858,330
484,198
594,198
616,198
968,352
462,220
330,198
594,242
440,242
638,88
418,154
66,22
154,22
682,264
726,308
220,220
396,220
242,110
352,88
528,286
594,242
396,154
308,154
110,44
88,44
462,220
550,220
396,132
462,132
44,44
110,22
550,264
792,308
308,176
374,132
132,44
352,66
1034,198
1232,308
418,154
506,154
88,22
374,44
1012,308
792,264
484,176
528,176
110,44
308,44
704,286
880,286
418,176
330,110
44,44
352,44
770,308
616,286
528,176
396,154
44,22
286,88
814,286
704,286
440,132
550,198
44,44
220,66
726,198
616,154
616,154
264,88
44,44
154,44
1034,330
836,220
528,154
550,154
44,44
110,22
902,264
660,264
770,132
396,176
132,44
308,66
792,330
550,264
726,176
330,132
176,44
154,22
924,264
836,242
616,88
814,176
88,44
286,66
792,220
1056,264
682,132
484,132
132,44
88,88
1078,308
1012,176
550,154
836,132
242,44
396,66
792,308
748,264
462,154
484,198
154,44
198,66
660,264
572,264
352,132
396,132
66,44
110,44
374,242
484,220
374,154
176,154
176,22
132,66
506,220
418,110
330,22
550,88
176,44
154,44
726,132
858,176
286,154
352,176
154,44
198,66
660,220
418,176
418,132
352,132
66,44
66,22
462,242
550,132
286,132
242,132
44,44
66,44
682,330
858,330
440,198
396,176
176,88
154,66
770,286
990,308
396,220
396,198
242,110
198,88
704,264
1122,286
484,176
330,176
220,110
198,66
1429,308
924,220
374,198
968,198
396,88
374,110
1034,286
902,264
594,220
726,176
352,110
154,110
704,220
462,198
176,88
484,198
198,66
770,220
638,220
418,110
418,198
286,88
990,418
2133,660
946,286
1100,374
198,66
418,132
682,330
836,286
44,22
330,198
440,198
484,286
660,286
286,110
352,198
462,242
770,352
572,264
352,132
132,88
286,110
638,264
858,330
638,264
638,176
286,88
550,88
770,330
990,528
770,374
264,132
286,132
880,352
1363,462
1210,396
264,66
352,132
550,198
880,374
660,264
330,88
264,110
528,154
902,308
594,176
286,88
220,66
792,110
1122,264
682,176
132,88
286,66
638,308
1429,528
638,308
374,154
264,154
682,352
1363,506
1078,352
308,198
440,198
682,198
836,308
572,198
286,88
374,110
506,132
726,330
638,220
110,110
308,88
110,0
1144,330
968,242
308,66
264,154
660,176
1122,374
594,176
396,88
704,110
286,198
1012,440
1166,462
946,352
1122,352
792,374
1166,572
946,286
1012,264
638,286
902,198
264,132
902,286
748,286
286,110
308,154
616,264
550,264
308,110
440,88
594,198
814,198
198,88
308,110
528,220
572,220
110,88
726,286
770,352
462,220
506,176
198,110
242,66
814,418
836,374
374,264
594,242
286,132
308,66
726,396
902,396
462,264
792,308
220,132
264,110
770,330
902,330
330,220
682,242
308,88
308,66
528,330
704,352
308,220
440,264
286,110
154,88
1100,418
924,176
748,286
902,220
748,220
1012,330
660,308
858,308
946,286
638,242
924,198
990,264
858,242
880,220
1012,220
946,242
616,132
638,176
682,242
352,198
616,198
484,198
704,198
484,176
704,264
484,198
550,198
528,220
484,242
616,220
572,220
638,220
484,110
352,220
462,176
506,220
462,198
308,176
484,264
682,198
704,198
528,176
1056,220
748,242
506,264
462,176
352,220
616,176
110,66
198,88
110,44
594,264
550,220
638,176
418,220
484,242
374,198
748,242
352,176
396,154
396,220
418,264
462,132
440,198
1473,418
968,374
462,220
506,220
1451,396
968,374
616,132
484,198
858,396
902,418
440,242
682,154
1605,352
1275,352
616,176
462,198
946,396
1319,330
572,198
550,198
990,440
1166,418
396,154
352,176
1122,418
924,352
594,220
528,198
924,396
924,418
462,198
924,264
770,264
770,330
902,330
682,264
594,264
330,88
132,88
836,352
1297,330
792,220
462,198
308,88
264,88
990,264
660,352
704,264
418,242
198,88
110,88
462,242
616,264
418,198
374,176
176,66
66,66
418,264
638,264
396,198
704,198
66,66
176,66
484,242
902,242
418,154
440,198
154,22
242,66
550,242
462,242
352,198
198,154
132,66
