marca,values
cfca4b92-12a6-411c-a62a-a874d00aa735,127
1600fb81-6f8b-4fa2-9ae2-a33420125939,122
61c08d2e-6819-4a64-a866-3e377ff68925,111
a1f8d89e-04ed-42a9-8c51-dc04cbdd0d18,103
9ef43878-70f3-43df-959d-49af8b1f580f,92
988e3625-7d5a-46f9-b93b-f3b15c8d6e61,86
921d101c-6d05-4d3a-94fa-b50b955f0561,84
60f81be4-bc2d-465c-ad62-52551b7c9ad8,84
e4c97e4e-1141-497f-b38c-3b7c0cae9ec4,75
b767f189-d40b-49cc-adf1-fc4ee11438d7,68
81ff4456-9c03-441f-9201-9410cae79d85,67
6a8df4c0-bf3c-4e99-a648-44021ccb15af,57
ae7e5951-6317-42e5-9d7e-0b7cab5fff0a,56
2b8a1779-4e37-420c-9439-222f69ab6790,55
6ed756bf-7370-46c0-b4df-a53c893b26bb,51
e0c5939f-1f3f-44c9-b786-8154fdaa6cac,49
d16b490f-370e-4eeb-ab4f-31c815f60a69,49
3bf63b3d-7c2f-47a4-81bc-6ad2452245d7,46
e02a9b8d-2a26-46c6-b5c1-0c8b2e4ff4d4,45
23d58665-8b33-4a8b-b8cf-be1f0b955112,45
e6b1b7ee-3782-4abd-b0f7-72fdd79ceb7f,43
6ad0756c-5e2a-4caa-8c9a-deaab7cdcf96,41
e2ed2d6d-895f-4d78-85f0-60805c02013b,41
b6758f9e-102c-4d39-98b2-b4c5e7a8d6c2,41
e2b0644a-9365-4b40-a821-2a2266de551d,40
c373a4f2-a8de-41e8-86a0-04725b575436,38
f55a7823-4b84-4ca2-b24f-4945f2f27ca9,36
09358432-a44c-4cb4-b8e6-bf51b403bf39,36
136dab85-c840-420f-bf88-e459483f8796,35
23ac65d4-bca2-4119-b4fa-821b224b8d49,35
9b5272b3-c05f-4237-913b-61dde0fdb8d0,34
80624cdd-099b-4cea-8f4a-2837f3e08587,34
a686154a-8570-40ae-b6a2-dc82842a5e32,33
ff436f5f-57aa-45bb-badc-c4063c6a022f,31
76980fb6-ce4f-4e2a-9958-5cf8fc25e639,30
67b4106f-ce58-4ea9-8912-9b6e3e32d203,28
da790000-672a-45a3-9bf9-4805e90d7f19,27
10978e4c-57de-4f45-9b35-f304ca89875e,26
f620512a-1e55-4c69-8208-9c83ed4725a5,26
ce8d442c-e662-44f8-a130-2e436f119ede,25
c3159d66-c344-4f24-bee1-1d5966e567d6,25
91664c1b-3d18-4eab-b3ca-79072c417d45,21
109eb926-eabe-4933-9172-6ff8a5c95ac7,20
dd17f8ec-1667-4ebc-86cb-b2398a8cbbfa,20
52117e6f-5cc4-4cc9-89c6-6c86be22376c,19
dfd310cc-8f71-4c13-8292-9f10d0c800c5,19
1ccbcd7a-f998-416d-bb98-5f9d79ee746e,19
bda0bdf1-d19e-4700-9493-78250dce8a6f,19
37fe10b7-3e0b-4bcb-ab83-759ddc273e23,17
9fead4cd-d80d-4488-be05-beddd6b45fb5,17
4039739b-8a62-4b30-862c-af65f9a66356,17
bc72be7a-2bd4-44ff-ab0e-e975e4ee9e96,17
25e70ebf-206f-4be2-a626-9980e36fdda3,16
17e6c981-001d-41b0-9816-16425ffeef0d,16
3e0e694f-fb8e-49e3-98dd-b83aac682569,16
f66308ed-5556-4469-a729-517b619fac5a,15
6826e5f2-33d9-47eb-aff2-402a3d031e79,14
321f9370-6a4a-4ea4-bd01-e0a2fad07f33,14
6ccbab3f-f2e6-4992-9844-ff9446fe1f96,14
c22a8b00-a91b-4f6f-af11-8553e7c13ea9,14
7d82a2a5-1eee-425d-a914-ace3d7864a26,13
529fd468-16cd-4143-be2a-b8108e26fcef,13
2a50cb28-0dfb-4689-8c67-4d5149959a2b,13
9884297d-e8e2-4e3c-ba61-03e87d6cbd9f,12
dcbc39f3-9aca-4f28-9a5c-2ddd04da77d8,12
45702471-835a-4967-a38b-c910df5a5b31,11
56abc972-f6ff-4292-b607-fd54183c1fb4,11
055096da-3cab-492e-8e19-98e6d2656f1d,11
6baa0e97-2a91-43cf-843f-bbac6e5ed509,11
e7d3ebfe-6f9f-4d28-b3b4-96b4875b2af3,11
c92b024d-9dc7-45a7-8de0-b6b6980c16db,11
ab1f5213-03fc-4553-b77c-13b2c6213d27,9
b7addd6d-e506-4da6-90e7-0f73bc435d28,8
d0d22dca-1902-45d3-98f5-4130e62056fa,8
bcdc75ed-99e1-4efe-9912-2805ca4a0105,8
44164896-a98d-48f3-84af-bd84401ef348,8
f8388ff2-6f70-4ae2-ab7e-2857663444a7,8
a2061f67-5f9a-4bdf-928f-d0f65adf0496,7
a255572f-5a7a-49fc-87de-227acbe413a0,7
68d6b1fc-233d-4346-b9d3-cd712c54b847,7
890bd5dd-a9f8-4879-828c-919843a0be89,7
c1a88681-f26a-450f-a95f-71af63e1c27e,7
5a9ca2a1-b909-4a25-ba92-51793e42b8be,6
33036f90-cafa-45bc-94f1-4f6defb59223,6
a5cec3c7-e486-4940-bda7-a3fa8ea46f9d,6
056287db-fb8b-44e7-a76a-f356ec59d5f5,6
